Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Smith, J.S., Nebgen, B.T., Zubatyuk, R., Lubbers, N., Devereux, C., Barros, K., Tretiak, S., Isayev, O., Roitberg, A.E.","57199013497; 25228953400; 8375199900; 55617392500; 57209603726; 16041454700; 7003665075; 23060975100; 6701721729","Approaching coupled cluster accuracy with a general-purpose neural network potential through transfer learning",2019,"Nature Communications",10,"1", 2903,,,,3,10.1038/s41467-019-10827-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068232284&partnerID=40&md5=a7029bce46552962b56fb56a45a3eeca",Article,Final,Open Access,Scopus,2-s2.0-85068232284
"Varghese, J.J.","56337414100","Computational design of catalysts for bio-waste upgrading",2019,"Current Opinion in Chemical Engineering",26,"",,20,27,,,10.1016/j.coche.2019.08.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071934018&partnerID=40&md5=dd972d0ee9ad93b309cfb95e2dd3ff65",Review,Final,Open Access,Scopus,2-s2.0-85071934018
"Masoudi-Sobhanzadeh, Y., Omidi, Y., Amanlou, M., Masoudi-Nejad, A.","57193058049; 6508117068; 6603321293; 55911393500","Trader as a new optimization algorithm predicts drug-target interactions efficiently",2019,"Scientific Reports",9,"1", 9348,,,,1,10.1038/s41598-019-45814-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068039947&partnerID=40&md5=63f3c87110e8ba53c3e165a9957cc18c",Article,Final,Open Access,Scopus,2-s2.0-85068039947
"Zeng, S., Zhao, Y., Li, G., Wang, R., Wang, X., Ni, J.","57075653900; 55811940100; 56673038300; 57200220292; 57208583574; 7201636827","Atom table convolutional neural networks for an accurate prediction of compounds properties",2019,"npj Computational Materials",5,"1", 84,,,,,10.1038/s41524-019-0223-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070629008&partnerID=40&md5=ecc5105e2147d923e6f0c6d3860646aa",Article,Final,Open Access,Scopus,2-s2.0-85070629008
"Benaddy, M., El Meslouhi, O., Es-saady, Y., Kardouchi, M.","35092229400; 36801514200; 55322307200; 57203924096","Handwritten Tifinagh Characters Recognition Using Deep Convolutional Neural Networks",2019,"Sensing and Imaging",20,"1", 9,,,,,10.1007/s11220-019-0231-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063327208&partnerID=40&md5=216a08cdb9c3655dfaa202fd21c829fa",Article,Final,,Scopus,2-s2.0-85063327208
"Steinbrecher, G.R., Olson, J.P., Englund, D., Carolan, J.","55606288000; 56047458100; 8534954700; 56118079100","Quantum optical neural networks",2019,"npj Quantum Information",5,"1", 60,,,,,10.1038/s41534-019-0174-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071902804&partnerID=40&md5=b2cdb71f8ffa0c3911355d783eb3fae5",Article,Final,Open Access,Scopus,2-s2.0-85071902804
"Ashino, K., Sugano, K., Amagasa, T., Ying, B.-W.","57203727424; 57203751357; 7006482993; 7006206250","Predicting the decision making chemicals used for bacterial growth",2019,"Scientific Reports",9,"1", 7251,,,,,10.1038/s41598-019-43587-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065677006&partnerID=40&md5=5bdbf674f7bdadaaaf0be1a28d1a4c1e",Article,Final,Open Access,Scopus,2-s2.0-85065677006
"Picasso, A., Merello, S., Ma, Y., Oneto, L., Cambria, E.","57209262857; 16064271600; 57189601750; 41262130900; 56140547500","Technical analysis and sentiment embeddings for market trend prediction",2019,"Expert Systems with Applications",135,"",,60,70,,2,10.1016/j.eswa.2019.06.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067037094&partnerID=40&md5=0bb7e6b5fa116be42fbe16f6dd9f708e",Article,Final,,Scopus,2-s2.0-85067037094
"Rätz, M., Javadi, A.P., Baranski, M., Finkbeiner, K., Müller, D.","57210945434; 57190008623; 56938309400; 57210945137; 24445798000","Automated data-driven modeling of building energy systems via machine learning algorithms",2019,"Energy and Buildings",202,"", 109384,,,,,10.1016/j.enbuild.2019.109384,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071993976&partnerID=40&md5=20f13f0843b0857746323726ef1a7d33",Review,Final,,Scopus,2-s2.0-85071993976
"Qazi, N., Wong, B.L.W.","57193964080; 56443386600","An interactive human centered data science approach towards crime pattern analysis",2019,"Information Processing and Management",56,"6", 102066,,,,,10.1016/j.ipm.2019.102066,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068542037&partnerID=40&md5=f557e5b949638c32edb1d609aa6ed41e",Article,Final,,Scopus,2-s2.0-85068542037
"Lu, H.-J., Zou, N., Jacobs, R., Afflerbach, B., Lu, X.-G., Morgan, D.","56703896400; 56704679600; 55334621100; 57207466577; 56202761300; 57204083585","Error assessment and optimal cross-validation approaches in machine learning applied to impurity diffusion",2019,"Computational Materials Science",169,"", 109075,,,,,10.1016/j.commatsci.2019.06.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068994042&partnerID=40&md5=07d9306a2b61091cdc308b7f5d1233f7",Article,Final,,Scopus,2-s2.0-85068994042
"Tian, Y., Gel, Y.R.","57208906071; 15062733300","Fusing data depth with complex networks: Community detection with prior information",2019,"Computational Statistics and Data Analysis",139,"",,99,116,,,10.1016/j.csda.2019.01.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066067806&partnerID=40&md5=0d8f564ed51f066f44bd9b424b10f63a",Article,Final,,Scopus,2-s2.0-85066067806
"Lee, X.Y., Balu, A., Stoecklein, D., Ganapathysubramanian, B., Sarkar, S.","57211062306; 56335539500; 56376495600; 8589220000; 55066244300","A case study of deep reinforcement learning for engineering design: Application to microfluidic devices for flow sculpting",2019,"Journal of Mechanical Design, Transactions of the ASME",141,"11", e4044397,,,,,10.1115/1.4044397,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072518555&partnerID=40&md5=7bb7b9fb5c9d745d710469de7cbfc618",Article,Final,,Scopus,2-s2.0-85072518555
"Schuwirth, N., Borgwardt, F., Domisch, S., Friedrichs, M., Kattwinkel, M., Kneis, D., Kuemmerlen, M., Langhans, S.D., Martínez-López, J., Vermeiren, P.","14028889000; 57203841583; 39862910500; 57205142207; 35210492600; 14063406600; 55340989000; 12759816700; 56377531700; 55909075500","How to make ecological models useful for environmental management",2019,"Ecological Modelling",411,"", 108784,,,,,10.1016/j.ecolmodel.2019.108784,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071568617&partnerID=40&md5=28810ea3d086fe880ca702c4a8e0f172",Review,Final,Open Access,Scopus,2-s2.0-85071568617
"Noetel, M., Ciarrochi, J., Sahdra, B., Lonsdale, C.","57190857713; 6603787754; 6505970010; 12760126800","Using genetic algorithms to abbreviate the Mindfulness Inventory for Sport: A substantive-methodological synthesis",2019,"Psychology of Sport and Exercise",45,"", 101545,,,,,10.1016/j.psychsport.2019.101545,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067029437&partnerID=40&md5=09f966aa9dcb43f04002ff93c8f15e05",Article,Final,,Scopus,2-s2.0-85067029437
"Zignoli, A., Fornasiero, A., Stella, F., Pellegrini, B., Schena, F., Biral, F., Laursen, P.B.","56014172800; 56543203300; 57201499013; 7004567281; 16182326400; 56028693900; 7004026980","Expert-level classification of ventilatory thresholds from cardiopulmonary exercising test data with recurrent neural networks",2019,"European Journal of Sport Science",19,"9",,1221,1229,,1,10.1080/17461391.2019.1587523,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063055935&partnerID=40&md5=544a807f4fd7104b354fe0632583c885",Article,Final,,Scopus,2-s2.0-85063055935
"Filippi, P., Jones, E.J., Wimalathunge, N.S., Somarathna, P.D.S.N., Pozza, L.E., Ugbaje, S.U., Jephcott, T.G., Paterson, S.E., Whelan, B.M., Bishop, T.F.A.","57190302705; 55448387300; 57205386846; 57188587341; 56433193800; 55909403200; 56584539100; 57195591587; 7004214868; 56235699900","An approach to forecast grain crop yield using multi-layered, multi-farm data sets and machine learning",2019,"Precision Agriculture",20,"5",,1015,1029,,,10.1007/s11119-018-09628-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059871739&partnerID=40&md5=27581723d378512ac10ffe711fa1996b",Article,Final,,Scopus,2-s2.0-85059871739
"Gomes, H.M., Bifet, A., Read, J., Barddal, J.P., Enembreck, F., Pfahringer, B., Holmes, G., Abdessalem, T.","55885351600; 23093088900; 55200513300; 56313344100; 10040673700; 6602530213; 24779409500; 15059874600","Correction to: Adaptive random forests for evolving data stream classification (Machine Learning, (2017), 106, 9-10, (1469-1495), 10.1007/s10994-017-5642-8)",2019,"Machine Learning",108,"10",,1877,1878,,,10.1007/s10994-019-05793-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062959111&partnerID=40&md5=30249529ab94d353490d1be07dbe569f",Erratum,Final,Open Access,Scopus,2-s2.0-85062959111
"Yan, C., Zhang, Q.","37018977900; 57192434082","Merging visual features and temporal dynamics in sequential recommendation",2019,"Neurocomputing",362,"",,11,18,,,10.1016/j.neucom.2019.07.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069687170&partnerID=40&md5=d4786955e0da8c861b0138d0fc9df7bc",Article,Final,,Scopus,2-s2.0-85069687170
"Villarreal, Y.R., Suchting, R., Klawans, M.R., Lane, S.D., Green, C.E., Northrup, T.F., Stotts, A.L.","55260497000; 56324634000; 57130972800; 7202105383; 7402357516; 36663860600; 6603623342","Predicting HCV Incidence in Latinos with High-Risk Substance Use: A Data Science Approach",2019,"Social Work in Public Health",34,"7",,606,615,,,10.1080/19371918.2019.1635948,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070273256&partnerID=40&md5=76ab7245718363a5e0f6378ca9d6ffc6",Article,Final,,Scopus,2-s2.0-85070273256
"Diez-Olivan, A., Del Ser, J., Galar, D., Sierra, B.","57193453930; 9737598300; 44060955300; 6604043456","Data fusion and machine learning for industrial prognosis: Trends and perspectives towards Industry 4.0",2019,"Information Fusion",50,"",,92,111,,16,10.1016/j.inffus.2018.10.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055203735&partnerID=40&md5=0f1b3a78fedf06839e171568ff976ea3",Article,Final,,Scopus,2-s2.0-85055203735
"Núñez Reiz, A., Armengol de la Hoz, M.A., Sánchez García, M.","6602410584; 57203429693; 7004916389","Big Data Analysis and Machine Learning in Intensive Care Units | Big Data Analysis y Machine Learning en medicina intensiva",2019,"Medicina Intensiva",43,"7",,416,426,,,10.1016/j.medin.2018.10.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058944570&partnerID=40&md5=8c84848b9e67fa40aedb972e442466b2",Review,Final,,Scopus,2-s2.0-85058944570
"Tianxing, M., Baimuratov, I.R., Zhukova, N.A.","57209975532; 57204417976; 57211095543","A knowledge-oriented recommendation system for machine learning algorithm finding and data processing",2019,"International Journal of Embedded and Real-Time Communication Systems",10,"4",,20,38,,,10.4018/IJERTCS.2019100102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072642329&partnerID=40&md5=78af56ea92657225842787e9833b6e79",Article,Final,,Scopus,2-s2.0-85072642329
"Susheelamma, K.H., Ravikumar, K.M.","57209315692; 56909621500","Student risk identification learning model using machine learning approach",2019,"International Journal of Electrical and Computer Engineering",9,"5",,3872,3879,,,10.11591/ijece.v9i5.pp3872-3879,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067368472&partnerID=40&md5=6eb187b1a405a1a7a34c4b93a592c58d",Article,Final,,Scopus,2-s2.0-85067368472
"Haeberle, H.S., Helm, J.M., Navarro, S.M., Karnuta, J.M., Schaffer, J.L., Callaghan, J.J., Mont, M.A., Kamath, A.F., Krebs, V.E., Ramkumar, P.N.","57204796989; 57209335279; 57194095322; 57192190323; 35234864200; 7101794563; 7005154075; 26641281400; 7005941361; 56157365700","Artificial Intelligence and Machine Learning in Lower Extremity Arthroplasty: A Review",2019,"Journal of Arthroplasty",34,"10",,2201,2203,,1,10.1016/j.arth.2019.05.055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067638690&partnerID=40&md5=9c5c53dedf697f05bea12d2cd71ec72b",Review,Final,,Scopus,2-s2.0-85067638690
"Li, H., Yu, C., Xia, J., Wang, Y., Zhu, J., Zhang, P.","57210464555; 57210461318; 57210516758; 57210473964; 57198764458; 57209576880","A Model Output Machine Learning Method for Grid Temperature Forecasts in the Beijing Area",2019,"Advances in Atmospheric Sciences",36,"10",,1156,1170,,,10.1007/s00376-019-9023-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070841096&partnerID=40&md5=7afbc0d2a35d5b5b003562293114cde8",Article,Final,,Scopus,2-s2.0-85070841096
"Assegie, T.A., Nair, P.S.","57209398365; 57209394345","Handwritten digits recognition with decision tree classification: A machine learning approach",2019,"International Journal of Electrical and Computer Engineering",9,"5",,4446,4451,,,10.11591/ijece.v9i5.pp4446-4451,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067616007&partnerID=40&md5=50ace3fbdf0501b60283167f6221c8cf",Article,Final,,Scopus,2-s2.0-85067616007
"Tallon, E., Dreisbach, C.","57208863822; 57194045757","Using Data Science to Understand Complexity and Quantify Heterogeneity in the Onset and Progression of Chronic Disease",2019,"Biological Research for Nursing",21,"5",,449,457,,,10.1177/1099800419863161,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070364924&partnerID=40&md5=60e19b53ed8999ca2dc31b455f06fed4",Article,Final,,Scopus,2-s2.0-85070364924
"Derkarabetian, S., Castillo, S., Koo, P.K., Ovchinnikov, S., Hedin, M.","24480781600; 57202351471; 55924625400; 57210438638; 7003726680","A demonstration of unsupervised machine learning in species delimitation",2019,"Molecular Phylogenetics and Evolution",139,"", 106562,,,,,10.1016/j.ympev.2019.106562,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070732441&partnerID=40&md5=c0cdd8a44129365f483bf2036a1d175f",Article,Final,,Scopus,2-s2.0-85070732441
"Tanioka, S., Ishida, F., Nakano, F., Kawakita, F., Kanamaru, H., Nakatsuka, Y., Nishikawa, H., Suzuki, H.","57093779900; 13611217900; 56789780100; 46661168800; 46661191600; 57191158604; 57191164681; 55549818100","Machine Learning Analysis of Matricellular Proteins and Clinical Variables for Early Prediction of Delayed Cerebral Ischemia After Aneurysmal Subarachnoid Hemorrhage",2019,"Molecular Neurobiology",56,"10",,7128,7135,,2,10.1007/s12035-019-1601-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064545579&partnerID=40&md5=a625602118d3031e723dd2e40dd415a7",Article,Final,,Scopus,2-s2.0-85064545579
"Lim, C.C., Kim, H., Vilcassim, M.J.R., Thurston, G.D., Gordon, T., Chen, L.-C., Lee, K., Heimbinder, M., Kim, S.-Y.","57108546600; 57206210743; 56449285000; 7102270013; 26643640000; 57192612793; 57189446356; 55575302700; 56579040100","Mapping urban air quality using mobile sampling with low-cost sensors and machine learning in Seoul, South Korea",2019,"Environment International",131,"", 105022,,,,1,10.1016/j.envint.2019.105022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069833094&partnerID=40&md5=4edf503301bce5c7260a4b45b1199931",Article,Final,Open Access,Scopus,2-s2.0-85069833094
"Andrade, R.O., Yoo, S.G.","57202218434; 36187649600","Cognitive security: A comprehensive study of cognitive science in cybersecurity",2019,"Journal of Information Security and Applications",48,"", 102352,,,,,10.1016/j.jisa.2019.06.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068424080&partnerID=40&md5=40bb649a2d1b30306ae47c854c80742f",Article,Final,,Scopus,2-s2.0-85068424080
"Ransom, K.M., Nolan, B.T., Traum, J.A., Faunt, C.C., Bell, A.M., Gronberg, J.A.M., Wheeler, D.C., Rosecrans, C.Z., Jurgens, B., Schwarz, G.E., Belitz, K., Eberts, S.M., Kourakos, G., Harter, T.","56904096600; 7102831417; 56966577500; 6603325230; 57190296636; 7006247797; 56447934400; 57188583702; 36246181000; 7201633925; 6701495097; 6508366166; 16245291600; 7003334461","Corrigendum to “A hybrid machine learning model to predict and visualize nitrate concentration throughout the Central Valley aquifer, California, USA” (Science of the Total Environment (2017) 601–602 (1160–1172), (S0048969717313013), (10.1016/j.scitotenv.2017.05.192))",2019,"Science of the Total Environment",685,"",,1306,,,,10.1016/j.scitotenv.2019.06.215,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067977752&partnerID=40&md5=c15ae28fa77b747f3b1a71f6e4525c34",Erratum,Final,,Scopus,2-s2.0-85067977752
"Liu, J., Rahmani, H., Akhtar, N., Mian, A.","57191882196; 56556233700; 56287450900; 7006066881","Learning Human Pose Models from Synthesized Data for Robust RGB-D Action Recognition",2019,"International Journal of Computer Vision",127,"10",,1545,1564,,,10.1007/s11263-019-01192-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070283916&partnerID=40&md5=f331f27580270fb96288baafeefd5daf",Article,Final,,Scopus,2-s2.0-85070283916
"Rauf, H.T., Saleem, B.A., Lali, M.I.U., Khan, M.A., Sharif, M., Bukhari, S.A.C.","57204077842; 17435797200; 34872549000; 57200036013; 26422599200; 57210830043","A citrus fruits and leaves dataset for detection and classification of citrus diseases through machine learning",2019,"Data in Brief",26,"", 104340,,,,,10.1016/j.dib.2019.104340,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071612334&partnerID=40&md5=d790b9f8aa87975aabb84c2ef822cdb8",[No source information available],Final,Open Access,Scopus,2-s2.0-85071612334
"Yavuz, Ö., Karahoca, A., Karahoca, D.","55371850200; 57197710803; 14027019900","A data mining approach for desire and intention to participate in virtual communities",2019,"International Journal of Electrical and Computer Engineering",9,"5",,3714,3719,,,10.11591/ijece.v9i5.pp3714-3719,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067351961&partnerID=40&md5=42b488a442f2d058aebbf2d33c76e4e6",Article,Final,,Scopus,2-s2.0-85067351961
"Attigeri, G., Manohara Pai, M.M., Pai, R.M.","37010751200; 23398020500; 57194587874","Framework to predict NPA/Willful defaults in corporate loans: A big data approach",2019,"International Journal of Electrical and Computer Engineering",9,"5",,3786,3797,,,10.11591/ijece.v9i5.pp3786-3797,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067343404&partnerID=40&md5=e232fd4c94e04a90d0537f46cd383b47",Article,Final,,Scopus,2-s2.0-85067343404
"Jittawiriyanukoon, C.","10739874700","Estimation of regression-based model with bulk noisy data",2019,"International Journal of Electrical and Computer Engineering",9,"5",,3649,3656,,,10.11591/ijece.v9i5.pp3649-3656,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067342874&partnerID=40&md5=ecc51e4251b25b57177d95e9eb4c34a2",Article,Final,,Scopus,2-s2.0-85067342874
"Kohli, M., Alkasab, T., Wang, K., Heilbrun, M.E., Flanders, A.E., Dreyer, K., Kahn, C.E.","24338219900; 7801646987; 57210752406; 7004698772; 7006675016; 7006172475; 57001222100","Bending the Artificial Intelligence Curve for Radiology: Informatics Tools From ACR and RSNA",2019,"Journal of the American College of Radiology",16,"10",,1464,1470,,,10.1016/j.jacr.2019.06.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071398084&partnerID=40&md5=02c7b99e2da7d63e1603106e7dcfd470",Article,Final,,Scopus,2-s2.0-85071398084
"Lee, S.J., Liu, H., Ward, M.D.","57210701515; 57210706133; 57200711110","Lost in space: Geolocation in event data",2019,"Political Science Research and Methods",7,"4",,871,888,,,10.1017/psrm.2018.23,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071245963&partnerID=40&md5=3efe15ba46a13c634df67f72acbf2f67",Article,Final,,Scopus,2-s2.0-85071245963
"van der Heide, E.M.M., Veerkamp, R.F., van Pelt, M.L., Kamphuis, C., Athanasiadis, I., Ducro, B.J.","57191498746; 57207558519; 56592734000; 9237616800; 57210555473; 6602142345","Comparing regression, naive Bayes, and random forest methods in the prediction of individual survival to second lactation in Holstein cattle",2019,"Journal of Dairy Science",102,"10",,9409,9421,,,10.3168/jds.2019-16295,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070896351&partnerID=40&md5=0947a57054f43c53928c4d7091e1a8dd",Article,Final,,Scopus,2-s2.0-85070896351
"Hose, D.R., Lawford, P.V., Huberts, W., Hellevik, L.R., Omholt, S.W., van de Vosse, F.N.","24298504100; 7003514022; 26221821000; 6603071131; 6603707763; 7004415668","Cardiovascular models for personalised medicine: Where now and where next?",2019,"Medical Engineering and Physics",72,"",,38,48,,1,10.1016/j.medengphy.2019.08.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072084973&partnerID=40&md5=470f0b3df1415d77cf6dd40d20de4cab",Article,Final,,Scopus,2-s2.0-85072084973
"Tran, A., Tran, H.","57189903924; 57210519102","Data-driven high-fidelity 2D microstructure reconstruction via non-local patch-based image inpainting",2019,"Acta Materialia",178,"",,207,218,,,10.1016/j.actamat.2019.08.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070642560&partnerID=40&md5=11637fa13d567888f8c90b4a1030f397",Article,Final,,Scopus,2-s2.0-85070642560
