Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Ahn, W.-Y., Busemeyer, J.R.","25923327500; 6603752423","Challenges and promises for translating computational tools into clinical practice",2016,"Current Opinion in Behavioral Sciences",11,"",,1,7,,8,10.1016/j.cobeha.2016.02.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958970780&partnerID=40&md5=88885562cd0e4d1c60dd5bdec0e143e5",Review,Final,,Scopus,2-s2.0-84958970780
"Mariani, G., Anghel, A., Jongerius, R., Dittmann, G.","17334987700; 54379778800; 54915735500; 23484885300","Scaling Properties of Parallel Applications to Exascale",2016,"International Journal of Parallel Programming",44,"5",,975,1002,,4,10.1007/s10766-016-0412-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962639811&partnerID=40&md5=186314d151de872e248ee9252f27a13a",Article,Final,,Scopus,2-s2.0-84962639811
"Jantzen, B.C.","7801347290","Discovery without a ‘logic’ would be a miracle",2016,"Synthese",193,"10",,3209,3238,,2,10.1007/s11229-015-0926-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944691881&partnerID=40&md5=ac3da0c3150f8b84aa1b048af89f2d02",Article,Final,,Scopus,2-s2.0-84944691881
"Wang, H., Guo, X., Zhang, M., Wei, Q., Chen, G.","57196427552; 8262290000; 56575693600; 55553728382; 35219675700","Predicting the Incremental Benefits of Online Information Search for Heterogeneous Consumers",2016,"Decision Sciences",47,"5",,957,988,,3,10.1111/deci.12200,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84952815520&partnerID=40&md5=83b36035022ff897c7fb40901eadd033",Article,Final,,Scopus,2-s2.0-84952815520
"Cerasa, A., Novellino, F., Quattrone, A.","6507235102; 23569887800; 7102299459","Connectivity Changes in Parkinson’s Disease",2016,"Current Neurology and Neuroscience Reports",16,"10", 91,,,,15,10.1007/s11910-016-0687-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84984636508&partnerID=40&md5=42d22f6285833acf3dc85bdbc615edac",Review,Final,,Scopus,2-s2.0-84984636508
"Paricharak, S., Ijzerman, A.P., Jenkins, J.L., Bender, A., Nigsch, F.","56023751000; 35478030800; 7402867712; 8779307500; 23498544900","Data-Driven Derivation of an ""informer Compound Set"" for Improved Selection of Active Compounds in High-Throughput Screening",2016,"Journal of Chemical Information and Modeling",56,"9",,1622,1630,,6,10.1021/acs.jcim.6b00244,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84988904835&partnerID=40&md5=da4f2867b16fe8a135775c0c045d07b8",Article,Final,,Scopus,2-s2.0-84988904835
"Liang, S., Cheng, J., Jia, K., Jiang, B., Liu, Q., Liu, S., Xiao, Z., Xie, X., Yao, Y., Yuan, W., Zhang, X., Zhao, X.","7402146514; 55604938200; 35790967600; 35758658900; 57001303600; 7409464507; 55577486600; 16644497500; 24386032700; 8562505600; 49662622100; 55705124800","Recent progress in land surface quantitative remote sensing",2016,"Yaogan Xuebao/Journal of Remote Sensing",20,"5",,875,898,,4,10.11834/jrs.20166258,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992390489&partnerID=40&md5=adf320c5adf4b62c9fdc4683601f8748",Article,Final,,Scopus,2-s2.0-84992390489
"Gong, J., Zhong, Y.","23008015000; 12039673900","Survey of intelligent optical remote sensing image processing",2016,"Yaogan Xuebao/Journal of Remote Sensing",20,"5",,733,747,,4,10.11834/jrs.20166205,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992358061&partnerID=40&md5=f6063c3cf4509a23e1f8705d7ad7f77d",Review,Final,,Scopus,2-s2.0-84992358061
"Zhang, B.","8835983800","Advancement of hyperspectral image processing and information extraction",2016,"Yaogan Xuebao/Journal of Remote Sensing",20,"5",,1062,1090,,26,10.11834/jrs.20166179,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992343729&partnerID=40&md5=cd479c982a7fce5f235d4a8f8193185a",Article,Final,,Scopus,2-s2.0-84992343729
"Chen, Z., Ren, J., Tang, H., Shi, Y., Leng, P., Liu, J., Wang, L., Wu, W., Yao, Y., Hasiyuya","14021042100; 14021882100; 23029494800; 55349546900; 57204308417; 55874382200; 57208610071; 55707483300; 24529407300; 57191657923","Progress and perspectives on agricultural remote sensing research and applications in China",2016,"Yaogan Xuebao/Journal of Remote Sensing",20,"5",,748,767,,25,10.11834/jrs.20166214,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992390602&partnerID=40&md5=7c002ee35fb3070aefaf8250dcc571b9",Article,Final,,Scopus,2-s2.0-84992390602
"Pozzi, F.A., Fersini, E., Messina, E., Liu, B.","55890628800; 14045129300; 14034147900; 36063168200","Sentiment Analysis in Social Networks",2016,"Sentiment Analysis in Social Networks",,"",,1,263,,20,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017156686&partnerID=40&md5=db0d99c4de36ad3b0cb6c7c02a3792e1",Book,Final,,Scopus,2-s2.0-85017156686
"De Masi, A., Ciman, M., Gustarini, M., Wac, K.","57191500893; 49963285200; 55776702800; 6507639967","MQoL smart lab: Quality of life living lab for interdisciplinary experiments",2016,"UbiComp 2016 Adjunct - Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing",,"",,635,640,,9,10.1145/2968219.2971593,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84991049629&partnerID=40&md5=4d707925d0e8f63821ff8d8da337700d",Conference Paper,Final,,Scopus,2-s2.0-84991049629
"Rozo, E., Rykoff, E.S., Abate, A., Bonnett, C., Crocce, M., Davis, C., Hoyle, B., Leistedt, B., Peiris, H.V., Wechsler, R.H., Abbott, T., Abdalla, F.B., Banerji, M., Bauer, A.H., Benoit-Lévy, A., Bernstein, G.M., Bertin, E., Brooks, D., Buckley-Geer, E., Burke, D.L., Capozzi, D., Rosell, A.C., Carollo, D., Kind, M.C., Carretero, J., Castander, F.J., Childress, M.J., Cunha, C.E., D'Andrea, C.B., Davis, T., DePoy, D.L., Desai, S., Diehl, H.T., Dietrich, J.P., Doel, P., Eifler, T.F., Evrard, A.E., Neto, A.F., Flaugher, B., Fosalba, P., Frieman, J., Gaztanaga, E., Gerdes, D.W., Glazebrook, K., Gruen, D., Gruendl, R.A., Honscheid, K., James, D.J., Jarvis, M., Kim, A.G., Kuehn, K., Kuropatkin, N., Lahav, O., Lidman, C., Lima, M., Maia, M.A.G., March, M., Martini, P., Melchior, P., Miller, C.J., Miquel, R., Mohr, J.J., Nichol, R.C., Nord, B., O'Neill, C.R., Ogando, R., Plazas, A.A., Romer, A.K., Roodman, A., Sako, M., Sanchez, E., Santiago, B., Schubnell, M., Sevilla-Noarbe, I., Smith, R.C., Soares-Santos, M., Sobreira, F., Suchyta, E., Swanson, M.E.C., Thaler, J., Thomas, D., Uddin, S., Vikram, V., Walker, A.R., Wester, W., Zhang, Y., da Costa, L.N.","6508220901; 6602580207; 24829031900; 8538979100; 12782079400; 56313608800; 26429461400; 55151435200; 23991274600; 7007139687; 7005207510; 15841786900; 8303094100; 7202698368; 36348152500; 7102813749; 7005656061; 35253662500; 8916181900; 55546853400; 35209800000; 56715356100; 6603186973; 55757277000; 57193414472; 7004614794; 26664300400; 22834467400; 35274447100; 7403688803; 57204342717; 56506326400; 34874844600; 8976319800; 6506833394; 14631809200; 35271709000; 24367067300; 35227152800; 6701688696; 7005226608; 55944081300; 35227243900; 7006427244; 36615345400; 7004889724; 34768542300; 7401733959; 12763070500; 7402063381; 7005886779; 6602072466; 7005760971; 7003444700; 8870210400; 7005343006; 36816099000; 57203083565; 24074819700; 55547113727; 55107853700; 7201701805; 7006833728; 15050924900; 56924642200; 11239230500; 26644249600; 7005376181; 35227864200; 7102311378; 7403362701; 7003496886; 7004138504; 14042675100; 57202910178; 12144425800; 35609379300; 55553326800; 15128249100; 7102925136; 55532216000; 56181584800; 36669634300; 7403910300; 56232096100; 54387862800; 7102396569","RedMaGiC: Selecting luminous red galaxies from the DES Science Verification data",2016,"Monthly Notices of the Royal Astronomical Society",461,"2",,1431,1450,,60,10.1093/mnras/stw1281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982267595&partnerID=40&md5=bb9398c02b760b160037a0b270ca9dbb",Article,Final,,Scopus,2-s2.0-84982267595
"Shafto, P., Nasraoui, O.","6508237891; 6701405496","Human-recommender systems: From benchmark data to benchmark cognitive models",2016,"RecSys 2016 - Proceedings of the 10th ACM Conference on Recommender Systems",,"",,127,130,,5,10.1145/2959100.2959188,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84991266356&partnerID=40&md5=eca9d35952a0027f746279d0827e2dc5",Conference Paper,Final,,Scopus,2-s2.0-84991266356
"Park, J.H., Ro, W.W.","57191251889; 13003103600","Accelerating forwarding computation of artificial neural network using CUDA",2016,"International Conference on Electronics, Information, and Communications, ICEIC 2016",,"", 7562974,,,,,10.1109/ELINFOCOM.2016.7562974,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84988799967&partnerID=40&md5=21da4dae70b104e470cb03b2319256c7",Conference Paper,Final,,Scopus,2-s2.0-84988799967
"Toivanen, M., Häkkinen, J., Puolamäki, K., Radun, J., Lukander, K.","11840148200; 7007052231; 12141481400; 12760114200; 34976891300","Inferring user action with mobile gaze tracking",2016,"Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct, MobileHCI 2016",,"",,1026,1028,,1,10.1145/2957265.2965016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84991093290&partnerID=40&md5=188708fa8f97f1f9d5050e3c469805f9",Conference Paper,Final,,Scopus,2-s2.0-84991093290
"Wang, D., Ogihara, M., Gallo, C., Villamar, J.A., Smith, J.D., Vermeer, W., Cruden, G., Benbow, N., Brown, C.H.","23037039100; 54420747900; 54419896600; 54959914100; 32267597900; 57190984777; 55788695400; 6505802843; 55546466900","Automatic classification of communication logs into implementation stages via text analysis",2016,"Implementation Science",11,"1", 119,1,,,5,10.1186/s13012-016-0483-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84984979183&partnerID=40&md5=7ba26c1b26e7c70b8df2b062d9cf3668",Article,Final,Open Access,Scopus,2-s2.0-84984979183
"Nascimento, D.C., Pires, C.E., Mestre, D.G.","57076079600; 35176316700; 56094866600","Applying machine learning techniques for scaling out data quality algorithms in cloud computing environments",2016,"Applied Intelligence",45,"2",,530,548,,5,10.1007/s10489-016-0774-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962175410&partnerID=40&md5=57ca53a755d3292d4cc5e8e819511ffe",Article,Final,,Scopus,2-s2.0-84962175410
"Kubota, K.J., Chen, J.A., Little, M.A.","57205791057; 57191041444; 11540422400","Machine learning for large-scale wearable sensor data in Parkinson's disease: Concepts, promises, pitfalls, and futures",2016,"Movement Disorders",31,"9",,1314,1326,,47,10.1002/mds.26693,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84985931042&partnerID=40&md5=d730652b6bb64c27e8ea3efa22687822",Article,Final,,Scopus,2-s2.0-84985931042
"Zhu, J., Xu, C., Li, Z., Fung, G., Lin, X., Huang, J., Huang, C.","55355019800; 57020269100; 57191700379; 9732531300; 57189991097; 57189988332; 37261431500","An examination of on-line machine learning approaches for pseudo-random generated data",2016,"Cluster Computing",19,"3",,1309,1321,,4,10.1007/s10586-016-0586-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976318998&partnerID=40&md5=edc7becc3451ed9427d6726e7286fcbc",Article,Final,,Scopus,2-s2.0-84976318998
"Ren, X., Ding, W., Crouter, S.E., Mu, Y., Xie, R.","57188662202; 56598956600; 6507558742; 35237896800; 56238730900","Activity recognition and intensity estimation in youth from accelerometer data aided by machine learning",2016,"Applied Intelligence",45,"2",,512,529,,8,10.1007/s10489-016-0773-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962195611&partnerID=40&md5=e252b3e17bfa86212969dc49156c70e9",Article,Final,,Scopus,2-s2.0-84962195611
"Li, Y.J., Ng, P.H.F., Shiu, S.C.K.","51061557300; 35113655700; 7005550666","A fast evaluation method for RTS game strategy using fuzzy extreme learning machine",2016,"Natural Computing",15,"3",,435,447,,,10.1007/s11047-015-9484-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922455900&partnerID=40&md5=44545bcfcc3c7355631bac5c42d8c04b",Article,Final,,Scopus,2-s2.0-84922455900
"Khazaee, A., Ebrahimzadeh, A., Babajani-Feremi, A.","35242693300; 35614895700; 24175689400","Application of advanced machine learning methods on resting-state fMRI network for identification of mild cognitive impairment and Alzheimer’s disease",2016,"Brain Imaging and Behavior",10,"3",,799,817,,55,10.1007/s11682-015-9448-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941359905&partnerID=40&md5=3213bd049e8a09614e98e7a0418087c2",Article,Final,,Scopus,2-s2.0-84941359905
"Naimur Rahman, M., Esmailpour, A., Zhao, J.","57189868481; 23492178500; 36678409900","Machine Learning with Big Data An Efficient Electricity Generation Forecasting System",2016,"Big Data Research",5,"",,9,15,,16,10.1016/j.bdr.2016.02.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975451590&partnerID=40&md5=917a5cf34a0289b2594ea581d3d8e072",Article,Final,,Scopus,2-s2.0-84975451590
"Li, W., Chen, Y., Guo, K., Guo, S., Liu, Z.","56582982400; 36160903300; 35793494900; 57189702502; 55625452000","Parallel extreme learning machine based on improved particle swarm optimization",2016,"Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence",29,"9",,840,849,,7,10.16451/j.cnki.issn1003-6059.201609009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992154316&partnerID=40&md5=8d671daae32b4bbdfbc8f2a419ddc335",Article,Final,,Scopus,2-s2.0-84992154316
"Zhao, F., Huang, Y., Wang, L., Xiang, T., Tan, T.","57199966457; 55717222600; 55721263000; 36100858100; 7402022125","Learning Relevance Restricted Boltzmann Machine for Unstructured Group Activity and Event Understanding",2016,"International Journal of Computer Vision",119,"3",,329,345,,6,10.1007/s11263-016-0896-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961121604&partnerID=40&md5=2c317f58e3061620356549f94765fde3",Article,Final,,Scopus,2-s2.0-84961121604
"Tiwari, K., Jamal, S., Grover, S., Goyal, S., Singh, A., Grover, A.","57191360863; 56496506100; 36465067500; 55955490000; 56495897100; 56262313200","Cheminformatics based machine learning approaches for assessing glycolytic pathway antagonists of Mycobacterium tuberculosis",2016,"Combinatorial Chemistry and High Throughput Screening",19,"8",,667,675,,4,10.2174/1386207319666160610080716,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84989193451&partnerID=40&md5=158c3ab84d55184b887cef66b8a23923",Article,Final,,Scopus,2-s2.0-84989193451
"Tixier, A.J.-P., Hallowell, M.R., Rajagopalan, B., Bowman, D.","55858722800; 9041209400; 7006193614; 56966203300","Application of machine learning to construction injury prediction",2016,"Automation in Construction",69,"",,102,114,,32,10.1016/j.autcon.2016.05.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84974738088&partnerID=40&md5=413e0ee34bb7d09a757ec74a0fa19fdf",Article,Final,Open Access,Scopus,2-s2.0-84974738088
"Cohen, J.P., Ding, W., Kuhlman, C., Chen, A., Di, L.","55475172900; 56598956600; 57194613570; 55946482700; 7006684098","Rapid building detection using machine learning",2016,"Applied Intelligence",45,"2",,443,457,,10,10.1007/s10489-016-0762-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961202787&partnerID=40&md5=989d491119e4e528e3cad75091bc44b8",Article,Final,,Scopus,2-s2.0-84961202787
"Rathore, M.M., Ahmad, A., Paul, A.","56650727000; 55957219200; 56650522400","Real time intrusion detection system for ultra-high-speed big data environments",2016,"Journal of Supercomputing",72,"9",,3489,3510,,32,10.1007/s11227-015-1615-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959102038&partnerID=40&md5=e3165e6ed281aae9fb15d3ed6bf41196",Article,Final,,Scopus,2-s2.0-84959102038
"Wang, C., Wang, X., Zhou, X., Li, Z.","55735865200; 57190620372; 57210942019; 27170580700","The Aircraft Skin Crack Inspection Based on Different-Source Sensors and Support Vector Machines",2016,"Journal of Nondestructive Evaluation",35,"3", 46,,,,3,10.1007/s10921-016-0359-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84981725585&partnerID=40&md5=d7508f3662cdfad524a3becdc3d38afe",Article,Final,,Scopus,2-s2.0-84981725585
"Zhou, Y., Zhou, Z.","57190001271; 55365262700","Cost-sensitive large margin distribution machine",2016,"Jisuanji Yanjiu yu Fazhan/Computer Research and Development",53,"9",,1964,1970,,,10.7544/issn1000-1239.2016.20150436,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84990207162&partnerID=40&md5=d2be99d275502a0fea95c276e2f1bc88",Article,Final,,Scopus,2-s2.0-84990207162
"Zhao, X.-H., Yang, B., Chen, H.-C.","55577834400; 57200878440; 56127209900","Fast learning algorithm for stochastic blockmodel",2016,"Ruan Jian Xue Bao/Journal of Software",27,"9",,2248,2264,,,10.13328/j.cnki.jos.004855,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84985987183&partnerID=40&md5=bae4dd11e66b2c72b09f9a862ed33867",Article,Final,,Scopus,2-s2.0-84985987183
"Sinha, M., Basu, A.","55638334200; 7402166595","A study of readability of texts in Bangla through machine learning approaches",2016,"Education and Information Technologies",21,"5",,1071,1094,,1,10.1007/s10639-014-9368-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84916624852&partnerID=40&md5=9e482dca023524a56447c20061609e52",Article,Final,,Scopus,2-s2.0-84916624852
"Zhu, Y., Yan, E., Song, M.","56015852600; 24336721500; 35243608100","Understanding the evolving academic landscape of library and information science through faculty hiring data",2016,"Scientometrics",108,"3",,1461,1478,,7,10.1007/s11192-016-2033-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976320561&partnerID=40&md5=002b25529b3f514c2225d6d0612b7aee",Article,Final,,Scopus,2-s2.0-84976320561
"Saproo, S., Faller, J., Shih, V., Sajda, P., Waytowich, N.R., Bohannon, A., Lawhern, V.J., Lance, B.J., Jangraw, D.","24759662000; 37046898400; 57191165707; 57204342918; 36683457800; 57191157117; 35795485600; 23091636200; 16028520300","Cortically Coupled Computing: A New Paradigm for Synergistic Human-Machine Interaction",2016,"Computer",49,"9", 7562326,60,68,,6,10.1109/MC.2016.294,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987666091&partnerID=40&md5=221d87c6e08bf5e49556e0d1a48f92b5",Article,Final,,Scopus,2-s2.0-84987666091
"Zhang, X., He, B., Luo, T.","55954386600; 8845565100; 8723873100","Training query filtering for semi-supervised learning to rank with pseudo labels",2016,"World Wide Web",19,"5",,833,864,,4,10.1007/s11280-015-0363-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937922718&partnerID=40&md5=ac3a964931bb4579e3217d42080893ae",Article,Final,,Scopus,2-s2.0-84937922718
"Huang, B.F.F., Boutros, P.C.","57191173732; 6602545313","The parameter sensitivity of random forests",2016,"BMC Bioinformatics",17,"1", 331,,,,18,10.1186/s12859-016-1228-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987750923&partnerID=40&md5=f87a5cc9368d87678ab8dc77cd2349fd",Article,Final,Open Access,Scopus,2-s2.0-84987750923
"Mocanu, D.C., Mocanu, E., Nguyen, P.H., Gibescu, M., Liotta, A.","55904289600; 23005384000; 57193913951; 22834212900; 13408852200","A topological insight into restricted Boltzmann machines",2016,"Machine Learning",104,"2-3",,243,270,,25,10.1007/s10994-016-5570-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978872829&partnerID=40&md5=939243f7d0ecd9a43a95aa0fe637a6b0",Article,Final,Open Access,Scopus,2-s2.0-84978872829
"Diz, J., Marreiros, G., Freitas, A.","56581867500; 9332465700; 36550143300","Applying Data Mining Techniques to Improve Breast Cancer Diagnosis",2016,"Journal of Medical Systems",40,"9", 203,,,,13,10.1007/s10916-016-0561-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84981240020&partnerID=40&md5=147df569f2d0d371eda35158948340c2",Article,Final,,Scopus,2-s2.0-84981240020
"Nazar, N., Hu, Y., Jiang, H.","57140861200; 55641623000; 35503225000","Summarizing Software Artifacts: A Literature Review",2016,"Journal of Computer Science and Technology",31,"5",,883,909,,13,10.1007/s11390-016-1671-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84984903636&partnerID=40&md5=a2aa850cc0077e022322c72cc049188b",Article,Final,,Scopus,2-s2.0-84984903636
"Liu, H., Wang, J., Ying, W., Wang, S.","57191052328; 55976864000; 54989394900; 55656020100","Cascaded hidden space fuzzy c-means based on local preserving projection",2016,"Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence",29,"9",,807,815,,,10.16451/j.cnki.issn1003-6059.201609005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992027305&partnerID=40&md5=4924ffdf5fb955de76a98916d13dc768",Article,Final,,Scopus,2-s2.0-84992027305
"Basu, N., Bandyopadhyay, S.K.","57189617096; 36874237000","2D Source area prediction based on physical characteristics of a regular, passive blood drip stain",2016,"Forensic Science International",266,"",,39,53,,1,10.1016/j.forsciint.2016.04.024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84973468878&partnerID=40&md5=7b7ca6a8e5e444386b3483677898495d",Article,Final,,Scopus,2-s2.0-84973468878
"Gautam, A., Sharma, A., Jaiswal, S., Fatma, S., Arora, V., Iquebal, M.A., Nandi, S., Sundaray, J.K., Jayasankar, P., Rai, A., Kumar, D.","57189069576; 57204812879; 56506677700; 57189073732; 57196592820; 32667601200; 16835254800; 6507173236; 6507152982; 18134787500; 57202478116","Development of Antimicrobial Peptide Prediction Tool for Aquaculture Industries",2016,"Probiotics and Antimicrobial Proteins",8,"3",,141,149,,3,10.1007/s12602-016-9215-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84965064258&partnerID=40&md5=716fddce91ef5d7d6b7ea48287384848",Article,Final,,Scopus,2-s2.0-84965064258
"Dash, C.S.K., Saran, A., Sahoo, P., Dehuri, S., Cho, S.-B.","55567420900; 57189868125; 56021943800; 55890604700; 7404884741","Design of self-adaptive and equilibrium differential evolution optimized radial basis function neural network classifier for imputed database",2016,"Pattern Recognition Letters",80,"",,76,83,,7,10.1016/j.patrec.2016.05.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975469264&partnerID=40&md5=eb7b496817ff0c303e5434f605317a97",Article,Final,,Scopus,2-s2.0-84975469264
"Samadi, S., Soltanian-Zadeh, H., Jutten, C.","14018525800; 34573212500; 55138338400","Integrated Analysis of EEG and fMRI Using Sparsity of Spatial Maps",2016,"Brain Topography",29,"5",,661,678,,1,10.1007/s10548-016-0506-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979656538&partnerID=40&md5=d8aec0fb9b34f384ebe4ebba3b7c2935",Article,Final,,Scopus,2-s2.0-84979656538
"Rajalaxmi, R.R.","25622829800","A hybrid binary cuckoo search and genetic algorithm for feature selection in type-2 diabete",2016,"Current Bioinformatics",11,"4",,490,499,,2,10.2174/1574893611666151228190309,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84986890562&partnerID=40&md5=5f1b871a3668f8424ccc60a94d5ec932",Article,Final,,Scopus,2-s2.0-84986890562
"Vadlamudi, S.G., Aine, S., Chakrabarti, P.P.","38362570000; 13611175900; 7101793021","Anytime pack search",2016,"Natural Computing",15,"3",,395,414,,2,10.1007/s11047-015-9490-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923065798&partnerID=40&md5=ddb3ffc36a3277719fd689c552213e7f",Article,Final,,Scopus,2-s2.0-84923065798
"Cohen, I.L., Liu, X., Hudson, M., Gillis, J., Cavalari, R.N.S., Romanczyk, R.G., Karmel, B.Z., Gardner, J.M.","7401818282; 26660561700; 14820283100; 8428996500; 49960975600; 6603554494; 7003390740; 7403050498","Using the PDD Behavior Inventory as a Level 2 Screener: A Classification and Regression Trees Analysis",2016,"Journal of Autism and Developmental Disorders",46,"9",,3006,3022,,7,10.1007/s10803-016-2843-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975165450&partnerID=40&md5=1957d88de58a3077cee43f07e11b7244",Article,Final,,Scopus,2-s2.0-84975165450
"Cabrol, N.A.","8941957900","Alien Mindscapes - A Perspective on the Search for Extraterrestrial Intelligence",2016,"Astrobiology",16,"9",,661,676,,13,10.1089/ast.2016.1536,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987909343&partnerID=40&md5=e98eb6d5b5ee9c8aeb1430769ef7ed47",Review,Final,Open Access,Scopus,2-s2.0-84987909343
"Singh, S.K., Rastogi, V., Singh, S.K.","55793190614; 15021278400; 57202479063","Pain Assessment Using Intelligent Computing Systems",2016,"Proceedings of the National Academy of Sciences India Section A - Physical Sciences",86,"3",,285,295,,,10.1007/s40010-015-0260-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84981727595&partnerID=40&md5=11d8d90433061ca522ab525a1531663d",Review,Final,,Scopus,2-s2.0-84981727595
"Kopenkov, V.N., Myasnikov, V.V.","15071993100; 56253546100","Development of an algorithm for automatic construction of a computational procedure of local image processing, based on the hierarchical regression",2016,"Computer Optics",40,"5",,713,720,,7,10.18287/2412-6179-2016-40-5-713-720,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85001022566&partnerID=40&md5=0b915e15080e9846ec91ced52088209b",Article,Final,Open Access,Scopus,2-s2.0-85001022566
"Taulé, M., Peris, A., Rodríguez, H.","8714503200; 54420961100; 8085276900","Iarg-AnCora: Spanish corpus annotated with implicit arguments",2016,"Language Resources and Evaluation",50,"3",,549,584,,,10.1007/s10579-015-9334-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84953449695&partnerID=40&md5=bb86035b7ffa0669098b59ecb110c631",Article,Final,,Scopus,2-s2.0-84953449695
"Elvevåg, B., Cohen, A.S., Wolters, M.K., Whalley, H.C., Gountouna, V.-E., Kuznetsova, K.A., Watson, A.R., Nicodemus, K.K.","6701427451; 35236804900; 25646765500; 57200399438; 9840799500; 12039071600; 55472362900; 6602563331","An examination of the language construct in NIMH's research domain criteria: Time for reconceptualization!",2016,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",171,"6",,904,919,,10,10.1002/ajmg.b.32438,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960338499&partnerID=40&md5=040b97e3e09fff41c5c34d4e43c249f4",Review,Final,,Scopus,2-s2.0-84960338499
"Zhu, X., Suk, H.-I., Lee, S.-W., Shen, D.","55643999665; 56332955800; 7601390519; 7401738392","Canonical feature selection for joint regression and multi-class identification in Alzheimer’s disease diagnosis",2016,"Brain Imaging and Behavior",10,"3",,818,828,,26,10.1007/s11682-015-9430-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84938780497&partnerID=40&md5=4057265e44ff86280fc23ee8ea8531ea",Article,Final,,Scopus,2-s2.0-84938780497
"Yeh, C.-W., Li, D.-C., Lin, L.-S., Tsai, T.-I.","35241096000; 7405325306; 36910733700; 8939875700","A learning approach with under-and over-sampling for imbalanced data sets",2016,"Proceedings - 2016 5th IIAI International Congress on Advanced Applied Informatics, IIAI-AAI 2016",,"", 7557706,725,729,,3,10.1109/IIAI-AAI.2016.20,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84988851690&partnerID=40&md5=92131e5d5fefa82541950c2b741073cc",Conference Paper,Final,,Scopus,2-s2.0-84988851690
